,state,participation_act_2018,composite_average_act_2018,participation_sat_2018,reading_and_writing_sat_2018,math_sat_2018,total_sat_2018
0,Alabama,1.0,19.1,0.06,595,571,1166
1,Alaska,0.33,20.8,0.43,562,544,1106
2,Arizona,0.66,19.2,0.29,577,572,1149
3,Arkansas,1.0,19.4,0.05,592,576,1169
4,California,0.27,22.7,0.6,540,536,1076
5,Colorado,0.3,23.9,1.0,519,506,1025
6,Connecticut,0.26,25.6,1.0,535,519,1053
7,Delaware,0.17,23.8,1.0,505,492,998
8,Florida,0.66,19.9,0.56,550,549,1099
9,Georgia,0.53,21.4,0.7,542,522,1064
10,Hawaii,0.89,18.9,0.56,480,530,1010
11,Idaho,0.36,22.3,1.0,508,493,1001
12,Illinois,0.43,23.9,0.99,513,506,1019
13,Indiana,0.32,22.5,0.63,542,532,1074
14,Iowa,0.68,21.8,0.03,634,631,1265
15,Kansas,0.71,21.6,0.04,633,631,1265
16,Kentucky,1.0,20.2,0.04,630,618,1248
17,Louisiana,1.0,19.2,0.04,615,595,1210
18,Maine,0.07,24.0,0.99,512,501,1013
19,Maryland,0.31,22.5,0.76,545,535,1080
20,Massachusetts,0.25,25.5,0.8,562,563,1125
21,Michigan,0.22,24.2,1.0,511,499,1011
22,Minnesota,0.99,21.3,0.04,643,655,1298
23,Mississippi,1.0,18.6,0.03,630,606,1236
24,Missouri,1.0,20.0,0.04,633,629,1262
25,Montana,1.0,20.0,0.1,606,592,1198
26,Nebraska,1.0,20.1,0.03,629,623,1252
27,Nevada,1.0,17.7,0.23,574,566,1140
28,New Hampshire,0.16,25.1,0.96,535,528,1063
29,New Jersey,0.31,23.7,0.82,547,547,1094
30,New Mexico,0.67,19.4,0.16,552,540,1093
31,New York,0.27,24.5,0.79,534,534,1068
32,North Carolina,1.0,19.1,0.52,554,543,1098
33,North Dakota,0.98,20.3,0.02,640,643,1283
34,Ohio,1.0,20.3,0.18,552,547,1099
35,Oklahoma,1.0,19.3,0.08,541,521,1062
36,Oregon,0.42,21.3,0.48,564,553,1117
37,Pennsylvania,0.2,23.5,0.7,547,539,1086
38,Rhode Island,0.15,24.2,0.97,513,505,1018
39,South Carolina,1.0,18.3,0.55,547,523,1070
40,South Dakota,0.77,21.9,0.03,622,618,1240
41,Tennessee,1.0,19.6,0.06,624,607,1231
42,Texas,0.45,20.7,0.66,520,512,1032
43,Utah,1.0,20.4,0.04,480,530,1010
44,Vermont,0.24,24.1,0.64,565,554,1120
45,Virginia,0.24,23.9,0.68,567,550,1117
46,Washington,0.24,22.2,0.69,543,538,1081
47,West Virginia,0.65,20.3,0.28,513,486,999
48,Wisconsin,1.0,20.5,0.03,641,653,1294
49,Wyoming,1.0,20.0,0.03,633,625,1257
